PatientID,Name,SSN,PhoneNumber,Email,InsuranceID,Gender,DateOfBirth,Age,Diagnosis,TreatmentPlan,Medications,LabResults,Allergies,LastVisitDate,DoctorAssigned,Notes,DataDeletionRequested
11,Mr. Kenneth Ryan,500-55-4646,9052144333,brad63@example.net,KRQ-1785542,Female,2002-02-03,56,Arthritis,Power door young media near may help.,"Gabapentin, Metformin","{""WBC"": 9521.6, ""Hgb"": 17.3, ""Platelets"": 364.9, ""Glucose"": 108.2}",Pollen,2025-06-07,Alicia Gonzalez,Focus newspaper pretty card rise rise wide.,False
12,Katherine Brown,730-87-8559,444-441-9422x2889,danielmoyer@example.org,tUq-9068619,Other,1943-07-13,93,Migraine,Chance forget full town different.,"Albuterol, Omeprazole, Simvastatin","{""WBC"": 7935.2, ""Hgb"": 17.5, ""Platelets"": 259.0, ""Glucose"": 117.3}",Peanuts,2025-08-03,Michael Oconnell,Difficult hot conference total learn this note when threat century time real a.,False
13,Angela Hernandez,636-91-1019,(200)719-9311,ilynn@example.net,YHz-1519898,Female,1963-12-02,23,Anxiety,Research number then like and economy another themselves.,"Gabapentin, Albuterol","{""WBC"": 6918.3, ""Hgb"": 13.5, ""Platelets"": 180.2, ""Glucose"": 108.8}",Penicillin,2025-07-11,Craig Nguyen,Reason player wrong money tough yes return him reach then across continue wait.,True
14,Kyle Mendez,492-37-2100,547.985.9382x9992,matthewlee@example.com,RTk-8526203,Female,1956-04-11,59,Arthritis,Decide produce sister bill wife speak.,"Atorvastatin, Metformin","{""WBC"": 10394.7, ""Hgb"": 15.2, ""Platelets"": 342.3, ""Glucose"": 87.2}",Peanuts,2025-05-31,Lori Garcia,Final still place director audience western.,False
15,Rebecca Hill,384-64-8335,948.311.6857,christopher45@example.net,rcc-9329703,Female,1957-05-04,96,Hypertension,Art wind clearly month skin fine.,"Simvastatin, Gabapentin, Metformin","{""WBC"": 6101.9, ""Hgb"": 15.3, ""Platelets"": 154.9, ""Glucose"": 123.6}",Pollen,2025-08-02,Bobby Johnson,Artist rich establish usually those source health.,True
16,Gregory Velasquez,636-36-0455,7092358010,qjones@example.net,ECz-3383372,Female,1936-11-28,33,Asthma,Probably middle instead many travel their.,"Atorvastatin, Gabapentin","{""WBC"": 8376.6, ""Hgb"": 16.6, ""Platelets"": 329.5, ""Glucose"": 120.0}",Penicillin,2025-05-23,David Hanna,Road interview her use agree amount bill.,True
17,Allison Daniel,067-43-0665,001-902-891-8815x40197,kaitlynrodriguez@example.org,rjz-4588041,Female,1970-09-25,7,COPD,Do center claim.,Lisinopril,"{""WBC"": 5589.5, ""Hgb"": 17.3, ""Platelets"": 294.3, ""Glucose"": 136.4}",Peanuts,2025-08-03,Jennifer Alvarado,Article easy door enjoy bar air focus response yard game measure.,True
18,Jason Ortiz,805-66-6767,229.672.1545x879,thomas17@example.net,spU-7337552,Female,1938-09-17,11,Obesity,Mean institution city account.,"Omeprazole, Hydrochlorothiazide","{""WBC"": 5761.8, ""Hgb"": 12.8, ""Platelets"": 201.7, ""Glucose"": 86.6}",Pollen,2025-10-17,Jennifer Barnes,Interesting goal glass opportunity woman can apply single sense.,False
19,Samantha Thompson,618-42-3188,941.494.0468,christinedoyle@example.com,aNX-9465611,Male,1976-06-08,32,Hypertension,Claim entire rise than thus.,Simvastatin,"{""WBC"": 9157.9, ""Hgb"": 14.0, ""Platelets"": 160.0, ""Glucose"": 73.0}",Peanuts,2026-01-10,Brandon Patel,Forward remember cell role record success join record painting forget.,False
20,Matthew Werner,108-15-0136,(694)209-9234,mckinneymatthew@example.net,tGB-1150935,Female,1996-11-08,87,Asthma,Water true yeah attorney reduce lawyer exist.,"Gabapentin, Hydrochlorothiazide","{""WBC"": 6799.3, ""Hgb"": 12.7, ""Platelets"": 243.6, ""Glucose"": 79.1}",None,2025-09-14,Andrew Lopez,Seven while painting picture adult bill during dark owner dream.,False
21,Susan Johnson,799-28-4011,(502)420-7492,fischertimothy@example.org,DSB-1384423,Other,2024-05-04,45,Hypothyroidism,Back pressure certain hand.,"Albuterol, Levothyroxine","{""WBC"": 9808.1, ""Hgb"": 14.9, ""Platelets"": 186.5, ""Glucose"": 85.9}",Penicillin,2025-11-08,Susan Larsen,By goal politics necessary before decade official kid either herself mean.,False
22,Jeffrey Anderson,704-15-6313,001-813-542-2668x01162,walkersteven@example.com,poL-4528482,Female,1935-08-14,63,Diabetes,Service result institution deep make century number.,"Atorvastatin, Simvastatin","{""WBC"": 9870.7, ""Hgb"": 17.5, ""Platelets"": 334.9, ""Glucose"": 70.4}",Penicillin,2025-10-25,Connie Lopez,Food employee wrong certainly tell father fly next matter.,True
23,William Powell,335-60-1622,001-558-702-4639,brianwilson@example.com,flo-0335069,Female,1957-04-01,98,Arthritis,Agreement hot wear article agreement ground up.,"Atorvastatin, Amlodipine, Metformin","{""WBC"": 8973.8, ""Hgb"": 17.1, ""Platelets"": 319.8, ""Glucose"": 97.2}",Pollen,2025-05-19,Terry Underwood,Push show response window discussion soldier.,True
24,Anthony Johnson,504-65-4617,489.787.9297x229,gabriel45@example.net,zmF-1414641,Other,2015-09-03,5,Diabetes,Discussion plan can later wide son table shake.,"Amlodipine, Metformin","{""WBC"": 5117.2, ""Hgb"": 16.3, ""Platelets"": 250.2, ""Glucose"": 124.1}",Penicillin,2026-01-25,Jesus Smith,My her safe store area usually billion wrong network news.,False
25,Steve Pacheco,874-69-0856,+1-575-360-0712x3921,lunatracy@example.org,xAR-2625689,Other,1989-10-10,100,Arthritis,Crime blue I by.,"Metformin, Atorvastatin, Omeprazole","{""WBC"": 5259.9, ""Hgb"": 15.5, ""Platelets"": 283.2, ""Glucose"": 124.4}",Pollen,2025-10-16,Anthony Baker,Security listen prove possible white idea care yeah budget light choose sound.,False
26,Michael Moore,099-09-4359,+1-425-597-0201,barkerrobert@example.com,gPe-9569977,Other,1955-03-16,86,Hypothyroidism,General face play popular full marriage week.,"Metformin, Lisinopril, Omeprazole","{""WBC"": 9724.7, ""Hgb"": 13.9, ""Platelets"": 365.3, ""Glucose"": 83.4}",None,2026-01-02,Jeremy Moran,Southern voice exist dinner mention hard agent purpose everything ok entire first response.,False
27,Keith Dean,568-45-7143,+1-562-870-8728x01898,justin39@example.org,mUn-4109580,Male,1984-02-06,46,Hypothyroidism,Base stay car executive red.,Omeprazole,"{""WBC"": 10330.8, ""Hgb"": 14.1, ""Platelets"": 377.5, ""Glucose"": 122.1}",Penicillin,2025-07-11,Henry Morgan,Heart computer career evidence measure who when smile and maintain star rich wish.,False
28,Susan Lewis,813-72-7938,+1-846-984-5030x64832,stephanie99@example.org,GvQ-1292109,Female,1955-03-20,100,Obesity,Note image design adult your especially stuff.,"Metformin, Atorvastatin, Gabapentin","{""WBC"": 6660.2, ""Hgb"": 15.3, ""Platelets"": 327.4, ""Glucose"": 85.1}",Peanuts,2025-05-15,Diane Sullivan,Economic may team middle bag would heavy appear join bad maintain.,False
29,Matthew Franklin,463-63-1329,001-369-745-1257x5504,joshua41@example.net,bOg-1852950,Female,1944-02-29,52,COPD,Natural should write.,Hydrochlorothiazide,"{""WBC"": 9745.1, ""Hgb"": 12.9, ""Platelets"": 273.1, ""Glucose"": 136.4}",Pollen,2025-10-20,Sharon Ortiz,Anyone career happen arm operation might.,True
30,Christina Rowland,517-55-3584,217-491-9288,markford@example.org,xmh-5772566,Male,1985-10-07,28,Hypertension,Key capital fall treat when any pay.,Gabapentin,"{""WBC"": 5073.0, ""Hgb"": 15.9, ""Platelets"": 283.7, ""Glucose"": 93.3}",Pollen,2025-10-01,Gina Reed,Worry money water board though charge happen.,True
31,Michael Hopkins,285-39-3849,+1-239-936-3314x9669,carloshughes@example.com,lsH-2718574,Male,1975-10-14,15,Diabetes,Ago major treatment after likely still view.,"Metformin, Albuterol","{""WBC"": 9037.7, ""Hgb"": 16.7, ""Platelets"": 255.0, ""Glucose"": 97.6}",Penicillin,2025-08-03,Regina Terry,Pattern sound western major just relate himself none.,False
32,Christina Calhoun,061-67-3162,001-679-387-5404x067,mckaybrandi@example.org,uXI-1585107,Male,2003-12-25,6,Hypertension,Account western how security responsibility.,"Lisinopril, Atorvastatin, Albuterol","{""WBC"": 4450.8, ""Hgb"": 16.8, ""Platelets"": 296.4, ""Glucose"": 109.8}",Latex,2026-03-01,Michael Robinson,Provide summer item paper dinner identify common.,False
33,Billy White,644-02-9206,(573)332-4295,joshua29@example.com,SUx-2549273,Male,1925-10-25,16,Hypertension,Goal site common fly.,Levothyroxine,"{""WBC"": 7188.6, ""Hgb"": 12.6, ""Platelets"": 393.0, ""Glucose"": 93.3}",Shellfish,2025-10-04,Cynthia Nelson MD,Guess call economic ok phone pull worry.,False
34,Brandy Ruiz,679-96-6880,977-861-6921x449,stephenhudson@example.net,BmH-3784733,Female,1931-09-28,92,COPD,Nature manage mean scientist.,Albuterol,"{""WBC"": 6197.5, ""Hgb"": 16.2, ""Platelets"": 236.3, ""Glucose"": 86.5}",None,2026-01-11,Jessica Adams,Age fact increase star suffer ago candidate including hundred art push bed program.,False
35,James Miller,591-01-3933,3026790950,nathan67@example.com,koP-9641685,Male,1992-05-28,45,Anxiety,Pick democratic democratic enter PM number.,"Amlodipine, Lisinopril","{""WBC"": 4033.1, ""Hgb"": 15.6, ""Platelets"": 293.9, ""Glucose"": 119.0}",Shellfish,2025-12-08,Shawn Jones,Yourself whole modern director know not woman.,False
36,Austin Barron,480-28-3571,+1-905-431-4198x1118,lowephillip@example.com,iRp-8761442,Male,1938-05-19,15,Anxiety,Pay leave forward side positive Mr everyone.,Metformin,"{""WBC"": 9799.8, ""Hgb"": 17.0, ""Platelets"": 232.2, ""Glucose"": 70.1}",Peanuts,2026-02-12,Leslie Curtis,Trade onto news billion system hand particularly plant finish place call head.,True
37,Gloria Snyder,019-73-4721,+1-294-580-1235x2265,zirwin@example.org,pHM-0719635,Female,1953-06-20,4,Anxiety,Raise speak event lay several popular.,"Gabapentin, Metformin, Levothyroxine","{""WBC"": 7101.9, ""Hgb"": 13.9, ""Platelets"": 242.0, ""Glucose"": 99.3}",None,2025-04-04,Kayla Lee,Parent rule professional discover question weight subject full commercial trial evening.,True
38,Lisa Robles,031-15-0945,001-767-957-4869x248,ericstevens@example.org,MTt-0005475,Other,2005-06-26,3,Anxiety,Fight raise collection still fact.,Amlodipine,"{""WBC"": 7709.6, ""Hgb"": 13.3, ""Platelets"": 374.1, ""Glucose"": 112.4}",Shellfish,2025-03-30,Tiffany Ferguson,Somebody likely authority increase together join draw but range instead.,False
39,Lisa Garrett,192-44-8191,3878440286,steven74@example.com,YDm-0054433,Female,1981-11-05,81,Asthma,I significant stop may time against.,"Levothyroxine, Albuterol, Atorvastatin","{""WBC"": 7886.8, ""Hgb"": 13.3, ""Platelets"": 192.5, ""Glucose"": 111.6}",Peanuts,2025-11-21,Bailey Owens,Grow either activity Mrs network strong similar.,True
40,Richard Williamson,350-19-0505,659-981-6965x7737,felicia89@example.com,iuo-2607133,Female,1972-03-31,2,Depression,Sense management threat see example.,"Levothyroxine, Amlodipine, Hydrochlorothiazide","{""WBC"": 4545.1, ""Hgb"": 14.5, ""Platelets"": 153.2, ""Glucose"": 136.7}",Penicillin,2025-10-04,Ashley Johnson,Still simply study culture follow live power that what sort.,True
41,Nicholas Turner,098-62-5003,7532442769,smithjenna@example.com,TIT-0532578,Male,1956-03-21,67,Hypertension,Need simply front bring.,"Metformin, Albuterol","{""WBC"": 8533.0, ""Hgb"": 14.5, ""Platelets"": 296.9, ""Glucose"": 129.5}",Shellfish,2026-02-24,Judith Holmes,Week piece your want sister news lay watch.,True
42,Sean Durham,073-98-8423,988-669-9947x308,cassandrasmith@example.com,yoV-8824099,Female,1946-03-20,17,COPD,By fish leave.,Hydrochlorothiazide,"{""WBC"": 4873.4, ""Hgb"": 16.8, ""Platelets"": 381.1, ""Glucose"": 136.6}",Peanuts,2025-03-06,Rachel Ortega,Accept body section data house kid election yard inside under bed in value.,False
43,Charles Butler,131-55-8405,981.246.3370,lindsaymcgee@example.org,IBs-7295712,Female,1973-07-21,76,Arthritis,Green man economy watch parent.,"Levothyroxine, Metformin","{""WBC"": 8778.7, ""Hgb"": 14.8, ""Platelets"": 398.8, ""Glucose"": 85.7}",Pollen,2025-10-18,Whitney Henson,Should necessary present move western American term remember southern mission.,True
44,Ian Alvarez,100-22-4396,234.249.5699x34900,deborah66@example.org,jbq-6230691,Other,1988-10-21,42,Diabetes,Two still else life all.,Albuterol,"{""WBC"": 6247.7, ""Hgb"": 15.2, ""Platelets"": 155.3, ""Glucose"": 88.7}",Shellfish,2025-03-24,Colleen Rivera,May size single agree treat everybody executive ten recently analysis.,True
45,Luis Wallace,417-62-3686,+1-277-679-0465,matthew01@example.com,ftn-8510475,Male,1980-09-23,44,Hypertension,Nice performance push lead stand mind today.,"Omeprazole, Hydrochlorothiazide","{""WBC"": 5727.6, ""Hgb"": 13.0, ""Platelets"": 275.5, ""Glucose"": 70.8}",Peanuts,2025-11-19,William Smith,Join light common sure save yeah goal work candidate then.,False
46,Amanda Mendoza,403-50-1893,640-383-8501,marybuchanan@example.org,ytF-0106694,Female,1940-04-02,68,COPD,Do game product culture.,Albuterol,"{""WBC"": 10486.6, ""Hgb"": 15.6, ""Platelets"": 360.3, ""Glucose"": 118.5}",Penicillin,2025-09-30,Kurt Woods,Animal build someone movement effort field kitchen and day carry another PM less.,False
47,Lori Hooper,223-72-6521,806-383-4860x38481,wesleypowell@example.org,emW-0875667,Male,1999-07-26,4,Diabetes,Blood wonder mention say.,"Lisinopril, Metformin, Amlodipine","{""WBC"": 4691.1, ""Hgb"": 16.5, ""Platelets"": 372.4, ""Glucose"": 132.1}",Shellfish,2025-12-24,Justin Jones,Scientist take turn model interest seem.,True
48,Curtis Leonard,846-57-6018,001-607-987-5410x8919,martinrobert@example.com,atX-2138178,Other,1967-01-30,56,Arthritis,Republican wrong sport mean six thought cultural ball.,"Simvastatin, Metformin","{""WBC"": 8519.7, ""Hgb"": 16.3, ""Platelets"": 178.3, ""Glucose"": 94.4}",Latex,2025-11-10,Lisa Wheeler,Success public live degree commercial officer white charge painting person.,True
49,William Lowery,107-65-8809,227-556-8967,travisthompson@example.org,QYq-7751256,Male,1953-07-21,73,Depression,Public affect who field consumer project type.,"Amlodipine, Simvastatin, Hydrochlorothiazide","{""WBC"": 4180.4, ""Hgb"": 12.5, ""Platelets"": 264.9, ""Glucose"": 97.4}",Peanuts,2025-07-20,Joann Nichols,Rate rest family they safe there while by husband each agree attorney.,True
50,Manuel Smith,841-35-4008,+1-712-617-4161x92118,jillian67@example.net,qQH-4894422,Female,1936-04-22,51,Hypertension,Discover wait might state ready energy.,"Simvastatin, Amlodipine, Lisinopril","{""WBC"": 5257.4, ""Hgb"": 14.7, ""Platelets"": 355.4, ""Glucose"": 110.2}",Penicillin,2026-02-21,Kevin Garcia,Minute especially agreement hair set unit size community now.,True
51,Katherine Hernandez,072-57-8033,(702)311-8381,teresacurry@example.net,oiJ-1530094,Female,1975-09-03,86,Hypertension,Very business different as traditional three.,Metformin,"{""WBC"": 4845.7, ""Hgb"": 14.9, ""Platelets"": 340.4, ""Glucose"": 80.5}",Penicillin,2025-06-24,Bradley Thompson,Response capital moment traditional list of real three significant million indicate a cold.,False
52,Timothy Richardson,486-05-2799,698-855-8664x752,bsmith@example.com,gXn-3187710,Male,1989-09-09,26,Migraine,Paper sister respond.,"Levothyroxine, Hydrochlorothiazide","{""WBC"": 8788.8, ""Hgb"": 13.7, ""Platelets"": 393.9, ""Glucose"": 85.9}",Latex,2025-08-30,Alejandra Williams,Professor even nothing his them consider capital style.,True
53,David Harvey,370-65-8749,(961)700-1680,rubenanderson@example.com,vVf-6773921,Other,1943-12-19,15,Diabetes,Oil cost leg since success.,"Simvastatin, Amlodipine, Lisinopril","{""WBC"": 9461.9, ""Hgb"": 14.1, ""Platelets"": 314.0, ""Glucose"": 124.0}",Pollen,2025-07-08,Allison Green,Discuss fly continue machine those Democrat star analysis call.,True
54,Kara Mcgrath,607-61-0677,+1-415-585-4775,smithlawrence@example.net,IOp-1295394,Other,1952-11-11,30,Hypertension,Detail nor well daughter major just institution.,"Atorvastatin, Levothyroxine","{""WBC"": 5773.5, ""Hgb"": 12.2, ""Platelets"": 262.9, ""Glucose"": 75.4}",Penicillin,2025-06-06,Brittany Reilly,Hair at miss movie final decade effort experience hair.,False
55,Seth Thompson,481-35-2002,(719)426-7161,kelsey64@example.org,EMl-8063319,Male,1929-05-19,64,Obesity,Middle this else in.,"Hydrochlorothiazide, Atorvastatin, Lisinopril","{""WBC"": 7644.4, ""Hgb"": 13.0, ""Platelets"": 170.0, ""Glucose"": 133.5}",Penicillin,2025-12-30,Francis Krause,Affect certain country president total speak community occur next newspaper.,False
56,Mindy Clark,645-02-5656,001-646-733-8901,teresa41@example.com,Evn-0135311,Male,1965-03-11,32,COPD,Drug plant thing relationship culture bar his.,"Atorvastatin, Levothyroxine","{""WBC"": 4516.9, ""Hgb"": 14.5, ""Platelets"": 222.0, ""Glucose"": 79.3}",None,2025-10-11,Nathan Miller,Participant child trouble individual possible will future.,True
57,Jessica Knox,169-44-1267,001-908-633-0602x476,rdrake@example.net,GEt-2604640,Other,1942-12-03,27,Arthritis,Before until international summer director individual.,"Lisinopril, Hydrochlorothiazide, Metformin","{""WBC"": 4055.9, ""Hgb"": 17.2, ""Platelets"": 168.3, ""Glucose"": 90.5}",Pollen,2025-09-07,Robert Rosario,Size he under will story skill sure group window population month.,True
58,Christina Austin MD,546-81-7218,001-247-817-1567x468,bford@example.net,Bmb-5410667,Other,2015-01-17,90,Anxiety,Camera until consumer find.,"Albuterol, Levothyroxine, Hydrochlorothiazide","{""WBC"": 9136.1, ""Hgb"": 14.8, ""Platelets"": 160.5, ""Glucose"": 85.8}",Shellfish,2025-11-17,Melissa Thomas,Peace performance case seek season paper.,True
59,Vanessa Garcia,080-52-9691,6855651612,lisagreen@example.com,Hua-2051064,Female,2009-08-29,20,COPD,Data many individual wait plan memory.,"Albuterol, Omeprazole, Atorvastatin","{""WBC"": 8559.4, ""Hgb"": 12.2, ""Platelets"": 337.1, ""Glucose"": 89.0}",None,2025-06-03,William Kelly,Man born fast how someone smile entire my.,True
60,Cynthia Schmidt,427-03-0755,+1-781-218-2798x9086,fullerwalter@example.com,zui-4860673,Male,1962-11-17,3,Anxiety,You new its traditional.,Simvastatin,"{""WBC"": 6774.6, ""Hgb"": 16.3, ""Platelets"": 315.6, ""Glucose"": 102.9}",Penicillin,2025-07-05,Andre Gillespie,Very particularly natural wonder value best either million into third act require.,False
61,Casey Lewis,555-62-9869,608-428-9564x99757,brandon23@example.com,tcE-9588868,Female,1996-11-28,32,Hypothyroidism,Drop thought but know information.,Simvastatin,"{""WBC"": 7161.1, ""Hgb"": 16.1, ""Platelets"": 167.0, ""Glucose"": 85.8}",None,2025-09-29,Ryan Gutierrez,Director two white voice measure turn pretty piece machine set.,False
62,James Garcia,346-88-4807,001-538-249-9406x057,fgilmore@example.net,cNp-8363775,Female,1968-11-03,100,Anxiety,No Mrs show risk number.,"Atorvastatin, Hydrochlorothiazide","{""WBC"": 9502.7, ""Hgb"": 16.6, ""Platelets"": 387.5, ""Glucose"": 130.5}",Shellfish,2025-09-03,Jackie Rose,President sign sure offer weight myself company order high particularly what wonder.,False
63,Erin Hawkins,227-32-0222,787.541.0594x71833,cgonzales@example.net,SFj-8458591,Male,1957-08-17,86,COPD,Rich loss mention.,Hydrochlorothiazide,"{""WBC"": 8393.4, ""Hgb"": 14.5, ""Platelets"": 225.4, ""Glucose"": 79.8}",Latex,2026-01-28,Jeffrey Reynolds MD,Fish per degree five campaign condition eat family sea TV without.,True
64,Lisa Brown,123-28-5460,+1-872-782-0365x672,baileymichael@example.net,Sew-1470321,Male,2009-04-02,41,COPD,Nothing staff service player store maintain stuff front.,"Metformin, Amlodipine","{""WBC"": 10867.2, ""Hgb"": 13.5, ""Platelets"": 152.4, ""Glucose"": 139.2}",Shellfish,2025-04-27,Aimee Rowe,Policy budget evidence wish region owner another maintain challenge arm buy board why.,False
65,Ralph Vazquez,230-76-4679,439-844-2884x0393,sanchezjohn@example.net,cAN-6387844,Other,2015-04-14,81,Anxiety,History either peace other character.,"Levothyroxine, Omeprazole, Metformin","{""WBC"": 5462.9, ""Hgb"": 16.7, ""Platelets"": 354.2, ""Glucose"": 95.4}",Penicillin,2025-10-20,Trevor Lynch,Commercial true husband test peace itself.,True
66,Tiffany Vargas,557-02-4169,(754)795-3847x789,beasleymegan@example.org,lgs-0140050,Male,1999-08-08,37,Migraine,Rock weight garden would pass explain.,"Albuterol, Metformin, Gabapentin","{""WBC"": 5827.2, ""Hgb"": 12.3, ""Platelets"": 205.6, ""Glucose"": 117.3}",Pollen,2025-12-20,Jessica Watkins,Class detail author meeting break issue prevent seat can industry office radio give.,False
67,Rachel Morales,814-09-1779,(410)701-2784,mcguiremary@example.org,OCw-4331504,Other,1951-02-25,33,Hypertension,Majority government road arm remember TV.,Albuterol,"{""WBC"": 6049.3, ""Hgb"": 12.6, ""Platelets"": 262.0, ""Glucose"": 138.6}",Peanuts,2025-07-04,Andrew Bray,Cultural rest party various happen investment offer institution avoid less create environmental.,False
68,Lauren Patterson,008-30-0460,(215)875-2902,tammyblack@example.net,CMY-5642534,Female,1985-02-22,79,Migraine,Put language how civil start today rate.,"Metformin, Simvastatin","{""WBC"": 10597.7, ""Hgb"": 13.4, ""Platelets"": 293.2, ""Glucose"": 92.7}",Peanuts,2025-05-25,James Thomas,Executive behind court cover health cell likely ground medical without force could today.,True
69,David Walker,678-43-0641,+1-883-741-0909,davidwalker@example.com,pfW-0347879,Female,2014-10-08,86,COPD,Approach fine action save part consider role.,"Levothyroxine, Metformin","{""WBC"": 6749.2, ""Hgb"": 12.4, ""Platelets"": 158.1, ""Glucose"": 81.1}",None,2026-01-30,Denise Brown,Hotel stand born five yourself whom season hair join chair.,False
70,Timothy Cobb,531-75-8167,661.419.0585x032,xjacobs@example.net,LUd-7418176,Other,1951-08-29,44,COPD,It just here ago international education figure.,Gabapentin,"{""WBC"": 6435.3, ""Hgb"": 15.0, ""Platelets"": 156.2, ""Glucose"": 128.7}",None,2025-12-16,Christopher Green,Line goal north owner send thousand nearly difference.,True
71,Kevin Mcdaniel,188-33-6880,844-890-6921x819,taylorbailey@example.org,kfZ-1120796,Male,1974-08-02,73,COPD,Notice manage technology factor.,Omeprazole,"{""WBC"": 6930.3, ""Hgb"": 15.1, ""Platelets"": 379.6, ""Glucose"": 108.1}",None,2025-12-31,Jason Brown,Entire those present really process quickly coach treat month score.,False
72,Alejandra Hunter,524-31-0303,333.628.2748x02368,uhughes@example.org,oPF-3096563,Female,2016-05-08,36,Arthritis,Ahead lay event product anyone eye.,"Hydrochlorothiazide, Lisinopril","{""WBC"": 7855.6, ""Hgb"": 15.8, ""Platelets"": 280.2, ""Glucose"": 137.3}",Shellfish,2026-02-13,David Nielsen,Democratic write product catch south head will.,True
73,Michelle Allen,584-02-0432,407.372.0851,james25@example.com,Kmy-8527704,Male,2019-01-22,15,Asthma,Car door attack.,Gabapentin,"{""WBC"": 5161.5, ""Hgb"": 13.4, ""Platelets"": 265.7, ""Glucose"": 137.3}",Peanuts,2026-02-08,Mark Smith,Certain laugh clearly world economy sing professor.,True
74,Mike Day,038-94-1747,001-215-526-0890,mlawrence@example.net,yuy-5372094,Male,1981-01-25,53,Arthritis,Strategy catch party whom.,"Amlodipine, Simvastatin","{""WBC"": 5042.5, ""Hgb"": 14.5, ""Platelets"": 312.0, ""Glucose"": 106.0}",None,2025-08-27,Kiara Middleton,Phone body word way by clearly beautiful another run nothing recently.,False
